,user_name,text,track_id,tweet_id,time,anger,fear,joy,sadness,analytical,confident,tentative,anger,fear,joy,sadness,analytical,confident,tentative
0,Mahtab_EB,"This song deserves to be a single, @angele_vl  ",5h9OvsTeNydBaZp7swQubV,1468910106062602246,2021-12-09 11:47:14+00:00,0.0,0.0,0.23893233333333333,0.3903506666666667,0.28742866666666667,0.0,0.0,0.0,0.0,0.23893233333333333,0.3903506666666667,0.28742866666666667,0.0,0.0
1,Mahtab_EB,The best song on her Christmas album  ,1TPKGnAiozwf9IXjkGA8sk,1468894587515252739,2021-12-09 10:45:35+00:00,0.0,0.0,0.847323,0.0,0.0,0.0,0.0,0.0,0.0,0.847323,0.0,0.0,0.0,0.0
2,Mahtab_EB,That plot twist in the bridge of this song still gets me all these years later   ,0tv7e81tRqibc5Q8PYhweP,1468510010389012485,2021-12-08 09:17:24+00:00,0.0,0.0,0.361183,0.0,0.0,0.352321,0.0,0.0,0.0,0.361183,0.0,0.0,0.352321,0.0
3,Mahtab_EB,This song hits different when you relate to it  ,42i8bh7spkYh5sY36vWsGW,1467436428053385219,2021-12-05 10:11:22+00:00,0.0,0.0,0.0,0.706777,0.362118,0.3791895,0.0,0.0,0.0,0.0,0.706777,0.362118,0.3791895,0.0
4,Mahtab_EB,This song always gets me  ,66mXHPRfAwbnNKnTCNpytj,1467431762548699138,2021-12-05 09:52:50+00:00,0.0,0.0,0.6970035,0.0,0.0,0.4808165,0.0,0.0,0.0,0.6970035,0.0,0.0,0.4808165,0.0
5,Mahtab_EB,"Idk why but I'm obsessed with the ""ha"" she does in this song, it's just... idk, like, it's so hot?? Idk if that mak ",,1467158542054481924,2021-12-04 15:47:09+00:00,0.0,0.0,0.437967,0.0,0.0,0.0,0.307676,0.0,0.0,0.437967,0.0,0.0,0.0,0.307676
6,Mahtab_EB,"I'm not even joking, I'm obsessed with this song. One of my favorites from the album already  ",5h9OvsTeNydBaZp7swQubV,1466689107728420867,2021-12-03 08:41:47+00:00,0.0,0.0,0.31969349999999996,0.0,0.0,0.187878,0.2141555,0.0,0.0,0.31969349999999996,0.0,0.0,0.187878,0.2141555
7,Mahtab_EB,I'M ALREADY OBSESSED @angele_vl ,5h9OvsTeNydBaZp7swQubV,1466544905287880710,2021-12-02 23:08:47+00:00,,,,,,,,,,,,,,
8,Mahtab_EB,"Yeah this was my most streamed song of the year and I'm still not tired of it, I'll never be ",0nxdtEWLQeLcJ2IQwDftAU,1466534708615868416,2021-12-02 22:28:16+00:00,0.0,0.0,0.330445,0.0,0.0,0.0,0.428311,0.0,0.0,0.330445,0.0,0.0,0.0,0.428311
9,Mahtab_EB,Private Show doesn't deserve the hate it gets and I said what I said   ,4EpNQjLsdhjO1EGQ1aycTU,1466477188161712128,2021-12-02 18:39:42+00:00,0.19870366666666664,0.0,0.5415746666666666,0.0,0.0,0.0,0.0,0.19870366666666664,0.0,0.5415746666666666,0.0,0.0,0.0,0.0
